model,status,ttfb_min,ttfb_avg,ttfb_max,t2last_min,t2last_avg,t2last_max,total_min,total_avg,total_max,max_output_tokens,temperature,candidate_count,pro_thinking_budget
models/gemini-1.5-flash,ok,0.42848569998750463,1.40422083332669,2.0973814000026323,0.402065800037235,0.42860273335827515,0.4633992000017315,0.8991449999739416,1.838706433326782,2.5261007000226527,128,0.5,1,0
models/gemini-1.5-pro,"429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.",,,,,,,,,,128,0.5,1,0
models/gemini-2.0-flash,ok,0.6059120999998413,0.7022071999769347,0.8474767999723554,0.44693020003614947,0.4791123000128816,0.5345498999813572,1.121564099972602,1.1898988666556154,1.3018901000032201,128,0.5,1,0
models/gemini-2.0-flash-lite,ok,0.5129413999966346,0.5691852666592846,0.6718692000140436,0.3891528000240214,0.5142437333318716,0.6178876999765635,0.9290170999593101,1.0961619999919396,1.2169254000182264,128,0.5,1,0
models/gemini-2.5-flash,ok,0.9010891999932937,1.3373674000031315,1.7696836999966763,1.8310932000167668,1.9912722666825478,2.133150600013323,2.914528399996925,3.351454866681403,3.665190900035668,128,0.5,1,0
models/gemini-2.5-flash-lite,ok,0.5390973999747075,0.6893943666558092,0.7974728000117466,0.1767604000051506,0.21768016666950038,0.27692979999119416,0.7182509999838658,0.9082818666550642,1.0754516000160947,128,0.5,1,0
models/gemini-2.5-pro,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'The model is overloaded. Please try again later.', 'status': 'UNAVAILABLE'}}",,,,,,,,,,128,0.5,1,256
models/gemma-3-4b-it,ok,1.0724241000134498,1.1314844999966833,1.2089509000070393,1.5687201999826357,1.5995157666620798,1.6455145999789238,2.758986399974674,2.8053204999887384,2.8481980999931693,128,0.5,1,0
