model,status,ttfb_min,ttfb_avg,ttfb_max,t2last_min,t2last_avg,t2last_max,total_min,total_avg,total_max,max_output_tokens,temperature,candidate_count,pro_thinking_budget,sweep
models/gemini-2.5-flash,ok,0.667227300000377,1.2750062333458725,2.115109200007282,0.0,0.3697026666680661,0.6369509000214748,1.2026489000418223,1.700000566682623,2.593010900018271,32,0.5,1,0,max_tokens=32
models/gemini-2.5-flash-lite,ok,0.5589166000136174,0.6455650666806226,0.7866511000320315,0.07382059999508783,0.09334906664056082,0.10408679995452985,0.6645293000037782,0.7402564333363747,0.8889919000212103,32,0.5,1,0,max_tokens=32
models/gemini-2.5-flash,ok,0.5264786000479944,0.9004481666682599,1.1638723000069149,0.3160284999758005,0.5661656666585865,0.8353330999962054,1.1035649999976158,1.553948700001153,1.99997910001548,64,0.5,1,0,max_tokens=64
models/gemini-2.5-flash-lite,ok,0.5225485999835655,0.6019014000000121,0.7360705999890342,0.14771439996547997,0.176820766646415,0.21044130000518635,0.6949756999965757,0.7797035666493078,0.910974400001578,64,0.5,1,0,max_tokens=64
models/gemini-2.5-flash,ok,0.7763875999953598,0.8232593333426242,0.8882403000025079,0.3026790000149049,0.9749151333235204,1.523849799996242,1.4989781000185758,1.9426544333303657,2.41855919995578,128,0.5,1,0,max_tokens=128
models/gemini-2.5-flash-lite,ok,0.5582721999962814,0.6788353666585559,0.76092879998032,0.16220360004808754,0.19202286668587476,0.20848179998574778,0.721514200035017,0.8731053000083193,0.9681816999800503,128,0.5,1,0,max_tokens=128
models/gemini-2.5-flash,ok,0.6824038999620825,0.8902628999979546,1.1235889000236057,0.23818079999182373,1.1492944666727756,1.7153789000003599,1.6503794000018388,2.138601900000746,2.4045985999982804,256,0.5,1,0,max_tokens=256
models/gemini-2.5-flash-lite,ok,0.6002260000095703,0.6227323333344733,0.6340064000105485,0.18538989999797195,0.19506323333674422,0.20433320000302047,0.7978879999718629,0.8192676999994243,0.838524500024505,256,0.5,1,0,max_tokens=256
